ltable_id,ltable_title,rtable_id,rtable_title
2764,Auntie Mame,2126,Auntie Mame
3616,August Rush,2129,August Rush
2086,Public Enemies,2183,Public Enemies
2507,The Cove,2205,The Cove
2516,Psycho II,2242,Psycho II
374,Psycho,2243,Psycho
3542,Psycho,2245,Psycho
1712,Attack the Block,2263,Attack the Block
2612,Courage Under Fire,2268,Courage Under Fire
2160,Boiler Room,2287,Boiler Room
1887,Atonement,2321,Atonement
2143,The Count of Monte Cristo,2336,The Count of Monte Cristo
870,Modern Times,2354,Modern Times
2184,Modern Romance,2355,Modern Romance
3983,Atlantis: The Lost Empire,2379,Atlantis: The Lost Empire
3228,The Cotton Club,2391,The Cotton Club
3270,Body of Lies,2396,Body of Lies
760,Body Double,2397,Body Double
864,Body Heat,2399,Body Heat
1973,Moby Dick,2413,Moby Dick
3820,The Proposal,2435,The Proposal
1525,Atlantic City,2446,Atlantic City
3962,Mo' Better Blues,2478,Mo' Better Blues
2376,The Prophecy,2485,The Prophecy
2672,Corpse Bride,2512,The Corpse Bride
1954,Bob Roberts,2524,Bob Roberts
1725,Mister Roberts,2541,Mister Roberts
1238,Prometheus,2559,Prometheus
3384,At Close Range,2583,At Close Range
3579,Copycat,2600,Copycat
1647,Coraline,2602,Coraline
1172,The Blues Brothers,2608,The Blues Brothers
196,Blue Velvet,2611,Blue Velvet
1101,Blue Valentine,2612,Blue Valentine
3041,The Missouri Breaks,2622,The Missouri Breaks
803,Mississippi Burning,2625,Mississippi Burning
1824,The Mist,2627,The Mist
2540,Cop Land,2683,Cop Land
3069,Blue Thunder,2689,Blue Thunder
1448,The Mission,2707,The Mission
3272,Mission: Impossible III,2711,Mission: Impossible III
1617,Mission: Impossible - Rogue Nation,2712,Mission: Impossibleâ€”Rogue Nation
3383,Mission: Impossible II,2717,Mission: Impossible 2
3366,The Program,2718,The Program
1040,Mission: Impossible - Ghost Protocol,2719,Mission: Impossibleâ€”Ghost Protocol
3054,The Professionals,2728,The Professionals
2169,The Cooler,2767,The Cooler
2049,Cool Runnings,2771,Cool Runnings
1037,Cool Hand Luke,2773,Cool Hand Luke
2020,Blue Jasmine,2791,Blue Jasmine
542,Mission: Impossible,2793,Mission: Impossible
2112,Lucky Number Slevin,2826,Lucky Number Slevin
4114,Coogan's Bluff,2861,Coogan's Bluff
4087,Blown Away,2880,Blown Away
2037,Missing,2883,Missing
2208,Prizzi's Honor,2893,Prizzi's Honor
2637,Private Parts,2905,Private Parts
4160,Assassins,2923,Assassins
1093,The Assassination of Jesse James by the Coward Robert Ford,2927,The Assassination of Jesse James by the Coward Robert Ford
1284,Dune,2939,Dune
1175,The Conversation,2949,The Conversation
648,Blow Out,2959,Blow Out
2132,Bloody Sunday,2965,Bloody Sunday
1122,Blow,2966,Blow
3487,Private Benjamin,2990,Private Benjamin
886,Prisoners,2998,Prisoners
2923,Lucas,3001,Lucas
722,The Asphalt Jungle,3015,The Asphalt Jungle
1215,Dumbo,3025,Dumbo
811,Dumb and Dumber,3027,Dumb & Dumber
1680,Control,3037,Control
1635,Bloodsport,3050,Bloodsport
4197,Miss Congeniality,3068,Miss Congeniality
2601,Mishima: A Life in Four Chapters,3071,Mishima: A Life in Four Chapters
1965,The Contender,3135,The Contender
1345,The Misfits,3147,The Misfits
248,Misery,3152,Misery
3693,Les Misérables,3153,Les Miserables
1119,Les Misérables,3157,Les Miserables
4105,The Princess Diaries,3166,The Princess Diaries
390,The Princess Bride,3169,The Princess Bride
2607,The Princess and the Frog,3179,The Princess and the Frog
3341,DuckTales the Movie: Treasure of the Lost Lamp,3199,DuckTales: The Movie - Treasure of the Lost Lamp
1303,Contact,3209,Contact
2056,Contagion,3210,Contagion
3399,Mirrormask,3231,MirrorMask
3422,Prince of the City,3248,Prince of the City
956,As Good as It Gets,3276,As Good as it Gets
3344,Constantine,3300,Constantine
2684,The Constant Gardener,3301,The Constant Gardener
3773,Conspiracy Theory,3305,Conspiracy Theory
807,Blood Diamond,3321,Blood Diamond
2690,Miracle,3328,Miracle
1332,Prince of Darkness,3335,Prince of Darkness
3499,The Prince of Egypt,3336,The Prince of Egypt
543,Primer,3347,Primer
2354,A.I. Artificial Intelligence,3367,Artificial Intelligence: AI
842,The Artist,3369,The Artist
2057,Conquest of the Planet of the Apes,3391,Conquest of the Planet of the Apes
1779,The Conjuring,3403,The Conjuring
189,Minority Report,3424,Minority Report
2826,Primary Colors,3436,Primary Colors
1200,Primal Fear,3438,Primal Fear
1863,Arthur,3454,Arthur
1223,Drugstore Cowboy,3461,Drugstore Cowboy
2703,The Drop,3472,The Drop
2030,Pride & Prejudice,3519,Pride & Prejudice
2947,Love Story,3529,Love Story
3042,Confidence,3570,Confidence
1937,The Blob,3581,The Blob
1843,Confessions of a Dangerous Mind,3585,Confessions of a Dangerous Mind
4113,Mimic,3616,Mimic
2962,The Arrival,3641,The Arrival
2948,Around the World in Eighty Days,3648,Around the World in 80 Days
1679,Driving Miss Daisy,3669,Driving Miss Daisy
15,Drive,3680,Drive
2359,The Blind Side,3699,The Blind Side
1592,Pretty Woman,3721,Pretty Woman
844,Pretty in Pink,3727,Pretty in Pink
4274,Pretty Baby,3728,Pretty Baby
524,The Hustler,3759,The Hustler
1717,Hustle & Flow,3767,Hustle & Flow
2018,Conan the Destroyer,3793,Conan the Destroyer
129,Blazing Saddles,3805,Blazing Saddles
998,Miller's Crossing,3810,Miller's Crossing
1025,Million Dollar Baby,3811,Million Dollar Baby
1929,Presumed Innocent,3819,Presumed Innocent
209,The Prestige,3830,The Prestige
1248,Husbands and Wives,3862,Husbands and Wives
2665,The Hurricane,3867,The Hurricane
773,Dressed to Kill,3871,Dressed to Kill
3530,Dreamscape,3879,Dreamscape
993,Dredd,3880,Dredd
746,Conan the Barbarian,3882,Conan the Barbarian
1302,Con Air,3889,Con Air
3705,Blast from the Past,3898,Blast from the Past
1688,Milk,3912,Milk
490,Mildred Pierce,3918,Mildred Pierce
1974,Armageddon,3949,Armageddon
3664,Arlington Road,3950,Arlington Road
2456,The Aristocats,3960,The Aristocats
2557,The Blair Witch Project,4004,The Blair Witch Project
358,Blade Runner,4007,Blade Runner
3707,Blade II,4009,Blade 2
1252,Blade,4011,Blade
1326,A Mighty Wind,4023,A Mighty Wind
636,Argo,4071,Argo
3309,The Dream Team,4090,The Dream Team
2809,Blackfish,4120,Blackfish
2555,The Mighty Ducks,4130,The Mighty Ducks
2371,Mighty Aphrodite,4132,Mighty Aphrodite
2847,Predator 2,4141,Predator 2
145,Predator,4142,Predator
4238,Love & Other Drugs,4169,Love and Other Drugs
637,The Hunt for Red October,4180,The Hunt for Red October
2197,The Hunger,4188,The Hunger
4005,The Hunger Games: Mockingjay - Part 2,4194,The Hunger Games: Mockingjay - Part 2
2818,The Hunger Games: Mockingjay - Part 1,4197,The Hunger Games: Mockingjay - Part 1
1017,The Hunger Games,4200,The Hunger Games
3033,Dragonslayer,4202,Dragonslayer
1579,The Commitments,4208,The Commitments
2645,Black Sunday,4221,Black Sunday
2759,The Black Stallion,4222,The Black Stallion
2576,Midway,4227,Midway
2744,A Midsummer Night's Sex Comedy,4229,A Midsummer Night's Sex Comedy
489,Black Swan,4230,Black Swan
3420,A Prairie Home Companion,4252,A Prairie Home Companion
2772,Arachnophobia,4275,Arachnophobia
1229,Hunger,4277,Hunger
2366,The Hunchback of Notre Dame,4281,The Hunchback of Notre Dame
1087,The Hunger Games: Catching Fire,4282,The Hunger Games: Catching Fire
3053,The Hunchback of Notre Dame,4283,The Hunchback of Notra Dame
3513,The Hunchback of Notre Dame,4284,The Hunchback of Notre Dame
3098,DragonHeart,4295,Dragonheart
2102,Dragon: The Bruce Lee Story,4299,Dragon: The Bruce Lee Story
664,Commando,4302,Commando
1441,Coming to America,4310,Coming to America
3990,Black Sheep,4314,Black Sheep
3407,Black Rain,4325,Black Rain
236,Midnight Run,4327,Midnight Run
3116,Midnight in the Garden of Good and Evil,4336,Midnight in the Garden of Good and Evil
732,Midnight in Paris,4342,Midnight in Paris
203,Love and Death,4354,Love and Death
1759,Coming Home,4396,Coming Home
986,Midnight Express,4416,Midnight Express
149,Midnight Cowboy,4418,Midnight Cowboy
2309,A Midnight Clear,4421,A Midnight Clear
4233,Black Mass,4422,Black Mass
1639,Love Actually,4447,Love Actually
3806,Apt Pupil,4453,Apt Pupil
2794,April Fool's Day,4456,April Fool's Day
3318,Dragnet,4468,Dragnet
1241,Drag Me to Hell,4469,Drag Me To Hell
3435,Dracula,4477,Dracula
521,Bram Stoker's Dracula,4478,Bram Stoker's Dracula
3169,The Black Hole,4506,The Black Hole
377,Black Hawk Down,4509,Black Hawk Down
